reviews,title
"
  PLZZ read this complete information before buying from Amazon,They do not refund if your product got defected.,Amazon is worst in providing services so if you have any option to buy from Flipkart then go there. Don't waste your time on Amazon,Regarding mobile,Worst mobile i have ever seen,Battery charging time is more than expected.,Battery drainaing problem is there,Camera will stuck when you click pictures.,Poor camera quality they said 48 mp but it's like 12mp.  If you are game lover then PLZZ try another mobile. Performance is very low.,I told Amazon customer care to take this product back but they are not helping me instead they want me to go service center in covid19 situation which is in red zone. They can't provide home visit because their technician life is more important than customer. If customer get infected it's ok for them.,Thanks Amazon for this service now i hate Amazon more than tiktok.,Unistalling the app right now. And also recommending my friend's and relatives to not buy anything from Amazon, they are worst.
,
  good batter backup,good camera,good mob design,no any issue
,
  Nice product in this price... Good quality and look is aswm... Punch hole Camera and display is very attracting. Camera is also perfect and battery capacity is very high. This phone is no doubt very much good.
,
  Hi all,,As I have bought redmi note 9 pro on first sale, I would like to share my review on this.,I would give  you my honest experience..,I will talk only about the Lacunas/cons  of this phone,,1.Battery-it lasts only for 24 hrs by general use,(like phone call, YouTube, whatsup video call) without gaming, while gaming it's battery drains fastly, for charging it takes 2 hrs.,2.Camera-As it is 48 MP, I personally did not find anything like 48 MP, rather samsung M30 has better quality of pics than this 48 MP, Night mode is not good enough,Its just a hipe,clarity has to be compromised,,Even front camera is not good, pics get blurr by zoom. Same here samsung M30 again have gain..,So camera is not as good as they told., blur and shaggy images, I have really disappointed.,3.Display- kindly go for super Amoled display, if you compare FHD of redmi note 9 pro and sAmoled of samsung you will really feel the difference,,4.Gaming has heating problem,battery drains fastly,,5.weight is something I feel heavy, hard to use by single hand.,6.sound is average,,So it's my honest feedback after using it for 4 days. I really feel disappointed.( In battery, camera, display, Sound),Now other things like processor, interface,speed, design, finger print sensor are best.,Thanks 👍
,
  Beauty and the beast combination with snapdragon......
,
  Don't go for this mobile as I face issue with network signal after 2days only and I tried call to customer care of amazone they said me it's issue with your sim card but as I ask my sim card customer care they said it's new updated sim card and and i have issue with both sim card which has different network then how both sim has issue in same time, every time costomer care give me some reason to do this that but yes in my mobile I feel it has some issue because of that it's network gone for more than hour and also it hang in between gaming and use as it has 6gb ram and good processor.
,
  Poor camera quality. Breadth too wide to grip well
,
  Super camera, battery, sound amazing  very much
,
  Tutto perfetto,
","Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI"
"
  Thank you samsung and Amazon for timely rakshabandhan delivery.Now for readers this is a review unbiased and written after testing and continuous usage :-,Pro's,1.Screen ppi is great as entry level device✌,2.Battery backup is awesome thanks to samsungs R&D even with .7mamp charger.👀,3.Android go version 10 is cute without craps,4.Reading pdfs is easy and comfort for eyes atleast samsung has guts to say the truth.,5.No lag till now because i dont need gaming other than that all regular even without go apps are nicely running.,6.fingerprint and face lock i dont need so good they are not provided.,7.Call quality is okay.Speaker is normal.,8.For music lovers dowload any music app with equilizer will be fine.,9.16gb/32gb and sd card is okay.,10.Auto smart memory cleaner(use smart manager in settings once a day) for smooth RAM functioning and ROM cleaning🤗,11. Supports OTG as well.,Cons,1. Camera below average still expected but samsung should work more on this front if they wanna beat chinese phones.,2.Not for gamers and thats expected buy a 4gb Ram 🤔 based phone why reading me?😉,3.finger print and face lock missing I Can manage but most indians can't.,4.Battery takes 3.15 hours to charge to work for 12 hours of calling and surfing and thats not bad at all but can be issue for chinese phone lovers who have habit of charging again and again to play pubg.,Overall out of 5.Camera-2  Gui-4  Screen ppi-5  speed-4  android-4,Don't buy a phone only because of specifications must see integration and longevity overall a nice secondary option and primary for featured phone switchers.
,
  Very smooth UI latest M series .,Battery is good. 3000mah,It has dark mode.,Apps run smoothly.,Camera is average.,Best for secondary phone.,Apps are of GO version,WiFi calling feature.
,
  I free of cost taken this phone for I show my friends in WhatsApp & facebook this phone a budget phone and full specification and more sell for samsung smartphones.
,
  Its not working. Pls don't buy this phone. Listen carefully, Only on August 14th 2020 I bought this, but today 23.08.2020 its not working. I couldn't even switch this mobile on. Samsung Galaxy M01 mobile. Mobile is not worth. As today I came to amazon for return or replacement this cheater has closed the return window by yesterday. How cunning they are ? not even ten days its been since I have bought. This cheaters have closed it. Its not working now.  Even if I call toll free numbers no one responses.
,
  The phone suddenly went completely dead within 10 minutes of switching it on after receiving it. Asked for a return, but the delivery boy didn't take the return because the phone is dead! Again request a return. Waiting to see what happens now. Can not take it to any shop or dealer as it is purchased online.
,
  After using 4/5 days suddenly without notice, the phone shutdown automatically and I couldn't restart it. So contact with amazon for replacing it and get very quick response from their end and they book a time slot to verify it by a technician. But after few hours later I found in start up guide send by Samsung,  how to restart when it stops working or hanged( by pressing power and volume key simultaneously for seven seconds or more). The fault is from the end of Samsung company I suppose, because they should mention the process on the front page with bold letter. Most of the reviews which get 1 star facing the same problems like of mine.,  After using one month I want to add some extra points which impressed me.,1. Sound quality and graphics are very good.,2. Smooth touch sensitivity,3. Ringtones are much louder.,4.Two volte nano SIM s work fine together.,5.Battery backup is good. Charging time is not so lengthy.,6.Any SIM can be switched off manually, that impressed me.,7. 2GB ram and 32 GB storage is better option for budget friendly people.,8. I faced hanging problem for one day only till now , which can be easily solved by pressing volume down key and power key simultaneously for 7 seconds or more.,8. Lastly this mobile is Made in India which I like the most.,  So any one can go for it. Amazon agents are really helpful which I experienced.
,
  Thanks Amazon for delivering the product as mentioned in the product description. It was well packed and delivered.,By the way, A Special Thanks to SAMSUNG for stepping up to INDIA's needs and introducing a new Line of Phones for taking on the Chinese Incursions in Indian Mobile Phone Market.,We ordered ""Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage)"" and thrown away the chinese phone Salomi as it had 100 other Apps Pre-Installed without our information and heating phone and draining battery. Had a tough times using that 'Salomi' phone. Now with a GOOD / BETTER Phone from GOOD Company Samsung, happy to own this ""Little Cute Phone"".,Samsung Galaxy M01 Core (Blue, 2GB RAM, 32GB Storage) -- is a small enough to keep in pockets and has all the Latest Android 10 OS with a Good Display.,  -- All latest version of Apps in a lite mode which means what we need only will be loaded and given instead of ""loading all forever"" and wasting our Precious Data.,-- A good Camera with Samsung Reliability is known for its Crisp Camera and Displays.,What else needed in a phone. Thanks SAMSUNG for bringing a new Affordable Range with Latest Android 10 OS.,Way to go SAMSUNG. Surely we INDIANS will support SAMSUNG and make it to No.1 Company by replacing the Chinese Mobile Companies in INDIA.
,
  Not bad....can suggest this mbl for normal users.... charging speed is very much disappointed , taking lot of time to charge up ....basic charger type not even USB cable....this suits for parents only ....not for youngsters, gamers etc.
","Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers"
"
   Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!
,
  Nice phone camera better attractive look
,
  Design-Good,Camera-Nice,Display-satisfactory,Battery backup-Up to the mark,Overall-Must to have phone for redmi lovers
,
  The headphone jack is not working  😡 Despite the customer care approved the replacement the delivery boy is not listening to them.He is standing at the door, calling this or that official and not replacing my phone. I feel so much harassed. Please somebody intervene.
,
  First sell, First order. Mobile is very nice...
,
  Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles .,Reason for choosing this title earlier i used a pro version model , Now i am reviewing this model after 3 days of usage.,1. Ear speaker quality in outdoor's very poor  . Keep your headphones handy ,,2.Sensor's are not working properly ( this is the reason i choose this title , sensor quality is based on price ),3.App search option is not available  , you must be very patient to search required app when you have an urgent need , you have to swipe all your mobile to choose required app . or change the launcher . default launcher is not capable of doing this basic function .,Rest all other functions are good  .
,
   Worst phone ever. Don't buy ths phone.,heating issue at the bottom side of touch screen, touch button as well as ghost touch activates on its own within 1-2 minutes and you can not use any of the app properly.,Initially thought it may be a due to some kind of virus, even after company reset issue is there and also you can see screen flickering very easily.
,
  This is my 4th MI Phone in 3 years. Earlier ones were good.,But here The extra battery has made phone heavier and hence has lost it charm, now looks like chinese phone. Earlier ones were as good as other phone apart from brand.,Not recommended.,Would love to return but it was gift for family,
","Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery"
"
  Brought this phone for my wife who is die hard fan for oppo...Offer like 2000 extra off on exchange with Oppo is just like waww....So after exchange of her old oppo mobile I got this phone for just Rs.6800.... Best phone if u want oppo brand name and u are boared to ur old oppo phone... So this review is considering 6800 cost...,Pros.,1) good features considering cost 6800.,2) Size matters 6.5 inch grt,3) Speakers are good Dolby,4) Comes with classic headphones with good looks and decent sound quality... No other phones now a days comes with headphones...,5) Quad camera gives good quality photos...,6) Selfie camera is also decent considering cost 6800,7) 5000mAh battery,8) can be use as power bank for other phones,Cons:,1) Original cost 13990 is huge considering features...Other good brands like MI, VIVO, MOTO, etc sells 48MP camera phones for 12000 and so...,2) Accessories like back cover, tempered glass are yet not in market... May be u have to wait for them...Though 1 transparent back cover is included in Mobile Box...,This is all about this phone after 24hrs use....I will update if something comes...
,
  Best option for exchange, I got it in 9k ,,Review score (out of 5),Design : 4.5 (finger print scanner position is bit high), other things like screen size, corners,back panel, camera position are perfect and it's light weight too...,Sounds quality : 5/5 (unexpected, dual side stereo and Dolby is awesome, loudness, clarity and effects are far better then any other phone i.e. mi 7 pro, Lenovo, Samsung or honor),Photography : it's similar to other available options in market, day light as usual is very clear and crisp, didn't get time for more night photography, but few repetitive uploaded pics are in night mode with very minimal light which are good.,Battery backup : best in this category (10% ~ 3 hours of heavy uses) , for heavy uses 30hours for normal uses it ll go up to 2 days.,Performance : not played many games but seems good, while opening any game auto memory cleaner will run,lag and heat issue is not there (checked continuously 1.5 hours),Memory space : 46 GB free space, all basic apps are pre installed, separate as card slot is available (apart from 2 SIM slot), 1.86 GB ram available after all updation, while playing any game also 900 to 1 GB space is available,Pros : apart from above mentioned points :,1)Front cam is good like other similar phone (mi, real me, honor, Samsung),2) earphones quality/look is very good in this range.,3) dual speaker position is in front top of display and near to charging pin, so stereo comes properly,4)face detection is fast,5)no heating issue while charging /YouTube /gaming,6) battery is lasting for more than 4 days on normal uses,Cons:,1) fingerprint scanner position is bit high,2) ram 6 GB would have a perfect option,3) macro photos are not that good compare to redmi 7 pro,4) no fast charger with pack
,
  Good Phone With Exchange
,
  Oppo makes very nice phone at this price range about quad cameras but we have another option to select Realme smartphones which is comparatively low budget and good cameras...,But this phone I like mostly in battery back up with type C charger.. and also like camera clearity because I have already attached some snaps here from my Oppo A5 2020...,Overall good performance of this phone and speaker was nice sounds which is have dual atmos..,Thanks Oppo
,
  Lowest speed ever seen in android and charger not support to battery. It will be 3 hours to take full charge
,
  The first thing is slow charging of this mobile taking more than 3 hours for full charging.  My friend bought the same mobile but that was 4 gb ram and 64 gb rom in which he got hand free but my mobile was 3 gb ram and 64 rom in which they are not providing hand free. Why?
,
  Its Camera gives pictures .. like .keypad mobile who has vga camera very poor in camera u get redish images i have never seen such worst device it often get stuck in between apps .. evn u dnt have pubg like games in ur device still it get stuck in usual apps .. it is better to buy a keypad mobile .rather than oppo a5 2020 struggled a lot with this device .. finally got returned thank god ... I truely suggest u people out there . Do not waste your money in buying this device
,
  Pros- Phone looks actually good,  Good battery life,Cons- phone is too heavy,  Camera performance not upto the,  mark.,Go for MI A3 if u don't want the cons
","OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers"
"
  Best camera, very good battery life, eat body material, average weight, best performance,  best display.
,
  This is best thing you can get at this price from a reputed brand with Made in India tag. First time I ordered on the first day of online launch and am happy. I'm writing after few days of usage, but this should not be different as my experience with Samsung has been most consistent as compared to other mobile brands I've used earlier.,Good:,- Android 10! Beautiful looks! Finally I can delete SMS from notification now!!,- Display is excellent with Blue light filter.,- Performance is good. No heating or lagging. Real Racing worked fine.,- 6000 Mah battery is BIG,- 128 GB storage is pretty good. 512 GB card supported with dedicated external card slot.,- Both dedicated sim slots support LTE,- Fast charging and 15W charger top with phone. The phone came with 0% charge. Charged fast.,- Mobile speakers sound is good, but I prefer external speakers for better bass in music.,- Camera is really good. Macro performance is very good - look at skin in tatoo photo and dust perticles in deskphone photo!! (photos of M31 are from other phone). Both front and rear camera support FHD video 3840x2160. I may not require to carry my DSLR everyehere.,- Face unlock / figure-print sensor response is good,- Received next day by 11 AM !,Not So Good:,- Not that thin, but ok.,- Doesn't have Samsung Dex,- Started to Boot Screen!! Gave me a little shock but selected reboot option and then every thing was smooth. An Android Updated (other than many application updates which is normal in any case) appeared on within days of launch. But update was smooth. No issue at all.,- Feels delicate in hand but a Rs.49 cover was good enough. Wrongly ordered black while the set is blue. Just 49 so will reorder the blue one as well :),- Called Samsung Store, but no information with them about availability date. Still no call from them.,Feedback,- Feels good in hand and in use. It is a powerhouse and you feel it.,- Will update after few days of use, but don't have any doubt as of now.,Go for it without any doubt.
,
  3rd class front camera. 32 MP front camera n looks like 2mp front camera. In very disappointed  with this kind of front camera. Need refund.
,
  Lets just begin with the obvious. This phone's quality doesn't meet the claims made.,Cons:,1. Camera Quality: Picture quality is just awful. Its worse than a 8MP camera. The pixelization is obvious and it is definitely not a 64MP camera. Do not believe the claims Samsung might make. The quad camera is of no use as the macro camera reminds me of the decade when VGA cameras were common.,2. Battery: Samsung may claim the battery will last for two days but it didnt last that long - no Netflix, Prime Video, heavy games being used. So that makes two of the biggest features useless.,3. Amazon's Policy: In case you don't like the phone, Amazon has made sure you are stuck with it. The switch from 10 day ""return"" policy to 10 day ""replacement"" policy is dowright wrong! Hold onto the shutters physical mobile stores - your days are not over yet. When you do request for replacement, there is an inspection of the phone at buyer's site - which I understand but the fact that replacement will occur almost on the 10th day from my purchase still keeps me at unease.,Pros:,1. Display: The screen quality is good and has adjustment options for warm light and cold light.,2. Performance: Streaming videos and playing heavy games was smooth for the first 4 days but then again Samsung is known for fast deterioration of performance, so I will keep my eyes and ears open.,3. Sound: Speaker quality is okay but not upto the mark. In a noisy place you fail to hear the crispness and the boom.
,
  I am using it from 3 days , 6000 mah battery is just for name only, it work for 1-1.25 days only with moderate usage.,64mp camera doesn't support zoom, camera doesn't support 60fps video recording.,Build quality is not good, plastic back with lots of figure prints in few minutes handling, not look new in few seconds.,Face unlock very slow.,Heat issue which charging and heavy usage,Full charge takes more than 3 hrs,Would not recommend to buy , if you are looking  for good camera phone,go with other brands like oppo or redmi , giving much better quality
,
  The phone was wrapped in dust. Although it was seal packed, still many dust were on screen and back side. It shows security concerns and Amazon, Samsung and seller must draw its attention. How dust can be reached in seal packed box? Now I'm lacking trust in Amazon,Samsung and seller. Either my phone was used or its components might have replaced, as in brand new phone,there exists no dusts because they are built in factory, but here shows how they are playing with the customer and their product.,Phone is nice, large battery backup of more than 2 days, 6.4 display is big, camera is perfect and 6GB ram is enough for daily usage. All things are good. No heating issue.,However my only concern is ""dust"" and how it came there if its brand new.,So I could give 5 star,but now 1 is enough.,Beware of Amazon,Samsung and seller.
,
  Software is no working. No sounds in media, cant attend calls, every 5 mints phone gone to switched off and even though no retraining option.
,
  Phone camera is not good , samsung says it's 64 mega pixel but its photos like 8 megapixels .photo detailing are not good  . Also processor is not Upton the mark it's some time slow and hang in multi function use . While using keyboard , keyboard hide automatically for 1 second . My mobile variant is 6 GB 128 GB. Don't waste your time and money .
","Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 64GB Storage)"
"
  Brought this phone for my wife who is die hard fan for oppo...Offer like 2000 extra off on exchange with Oppo is just like waww....So after exchange of her old oppo mobile I got this phone for just Rs.6800.... Best phone if u want oppo brand name and u are boared to ur old oppo phone... So this review is considering 6800 cost...,Pros.,1) good features considering cost 6800.,2) Size matters 6.5 inch grt,3) Speakers are good Dolby,4) Comes with classic headphones with good looks and decent sound quality... No other phones now a days comes with headphones...,5) Quad camera gives good quality photos...,6) Selfie camera is also decent considering cost 6800,7) 5000mAh battery,8) can be use as power bank for other phones,Cons:,1) Original cost 13990 is huge considering features...Other good brands like MI, VIVO, MOTO, etc sells 48MP camera phones for 12000 and so...,2) Accessories like back cover, tempered glass are yet not in market... May be u have to wait for them...Though 1 transparent back cover is included in Mobile Box...,This is all about this phone after 24hrs use....I will update if something comes...
,
  Best option for exchange, I got it in 9k ,,Review score (out of 5),Design : 4.5 (finger print scanner position is bit high), other things like screen size, corners,back panel, camera position are perfect and it's light weight too...,Sounds quality : 5/5 (unexpected, dual side stereo and Dolby is awesome, loudness, clarity and effects are far better then any other phone i.e. mi 7 pro, Lenovo, Samsung or honor),Photography : it's similar to other available options in market, day light as usual is very clear and crisp, didn't get time for more night photography, but few repetitive uploaded pics are in night mode with very minimal light which are good.,Battery backup : best in this category (10% ~ 3 hours of heavy uses) , for heavy uses 30hours for normal uses it ll go up to 2 days.,Performance : not played many games but seems good, while opening any game auto memory cleaner will run,lag and heat issue is not there (checked continuously 1.5 hours),Memory space : 46 GB free space, all basic apps are pre installed, separate as card slot is available (apart from 2 SIM slot), 1.86 GB ram available after all updation, while playing any game also 900 to 1 GB space is available,Pros : apart from above mentioned points :,1)Front cam is good like other similar phone (mi, real me, honor, Samsung),2) earphones quality/look is very good in this range.,3) dual speaker position is in front top of display and near to charging pin, so stereo comes properly,4)face detection is fast,5)no heating issue while charging /YouTube /gaming,6) battery is lasting for more than 4 days on normal uses,Cons:,1) fingerprint scanner position is bit high,2) ram 6 GB would have a perfect option,3) macro photos are not that good compare to redmi 7 pro,4) no fast charger with pack
,
  Good Phone With Exchange
,
  Oppo makes very nice phone at this price range about quad cameras but we have another option to select Realme smartphones which is comparatively low budget and good cameras...,But this phone I like mostly in battery back up with type C charger.. and also like camera clearity because I have already attached some snaps here from my Oppo A5 2020...,Overall good performance of this phone and speaker was nice sounds which is have dual atmos..,Thanks Oppo
,
  Lowest speed ever seen in android and charger not support to battery. It will be 3 hours to take full charge
,
  The first thing is slow charging of this mobile taking more than 3 hours for full charging.  My friend bought the same mobile but that was 4 gb ram and 64 gb rom in which he got hand free but my mobile was 3 gb ram and 64 rom in which they are not providing hand free. Why?
,
  Its Camera gives pictures .. like .keypad mobile who has vga camera very poor in camera u get redish images i have never seen such worst device it often get stuck in between apps .. evn u dnt have pubg like games in ur device still it get stuck in usual apps .. it is better to buy a keypad mobile .rather than oppo a5 2020 struggled a lot with this device .. finally got returned thank god ... I truely suggest u people out there . Do not waste your money in buying this device
,
  Pros- Phone looks actually good,  Good battery life,Cons- phone is too heavy,  Camera performance not upto the,  mark.,Go for MI A3 if u don't want the cons
","OPPO A5 2020 (Mirror Black, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers"
"
  Camera sound off option is not there.,Both camera are below average quality.,In settings options are very less. OS is not good.,Overall not a good phone.
,
  Very bad product. I would have rated it zero but no option is available. Don't buy this product.. I repeat don't buy this product. Camera is zero megapixel. Battery is not like 4000mah. And lastly Amazon is not taking it back.
,
  Pathetic #poor camera quality# very slow device# touch problem #work slow when work in different application # back key not working
,
  Pathetic product..,Please NOTE THAT THIS PRODUCT IS SO PATHETIC THAT COMPANY DOES NOT TAKE IT RETURN. SO DONT BUY IT AT ALL. COOLPAD IS PATHETIC AND AMAZON ALSO.,THE TOUCH SENSES ARE HOPELESS. EVEN  2 GB PHONE WORKS BETTER THAN THIS.,AMAZON IS SAYING THAT ITS WRITTEN THAT PRODUCT CAN BE REPLACED AND NOT RETURNED.,ITS FOOLING CUSTOMERS.,I WANTED TO GIVE 0 STARS BUT THAT OPTION IS NOT THERE
,
  Good quality vellu of money,I like it
,
  8000 rs for this mobile... It hurts,I thought it will be good but after looking the camera quality I started crying..,Redmi 8 is better than this coolpad 5.., it doesn't deserve 8000 rs..,Not good camera(blurry),Screen it not hd,Charger is looking like cheap..
,
  The hardware of the phone lives up to its specifications until now. 4GB RAM makes it snappy, 64GB internal storage gives you over 50GB unused space to start with, battery good for 1.5 days of basic use, gaming surprisingly is decent in medium settings, and camera okay-ish. The downside is the UI, not intuitive and looks a little old. Can be fixed if you change the ROM, but that will take time.
,
  Front Camera gives 16 mp but it's work look like 2 mp.,Weast mobile don't buy it anyone
","Coolpad Cool 5 (Midnight Blue, 4GB RAM, 64GB Storage)"
"
   Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!
,
  Nice phone camera better attractive look
,
  Design-Good,Camera-Nice,Display-satisfactory,Battery backup-Up to the mark,Overall-Must to have phone for redmi lovers
,
  The headphone jack is not working  😡 Despite the customer care approved the replacement the delivery boy is not listening to them.He is standing at the door, calling this or that official and not replacing my phone. I feel so much harassed. Please somebody intervene.
,
  First sell, First order. Mobile is very nice...
,
  Before buying you must know the difference between 7k mobile and 10k to 15K Mobiles .,Reason for choosing this title earlier i used a pro version model , Now i am reviewing this model after 3 days of usage.,1. Ear speaker quality in outdoor's very poor  . Keep your headphones handy ,,2.Sensor's are not working properly ( this is the reason i choose this title , sensor quality is based on price ),3.App search option is not available  , you must be very patient to search required app when you have an urgent need , you have to swipe all your mobile to choose required app . or change the launcher . default launcher is not capable of doing this basic function .,Rest all other functions are good  .
,
   Worst phone ever. Don't buy ths phone.,heating issue at the bottom side of touch screen, touch button as well as ghost touch activates on its own within 1-2 minutes and you can not use any of the app properly.,Initially thought it may be a due to some kind of virus, even after company reset issue is there and also you can see screen flickering very easily.
,
  This is my 4th MI Phone in 3 years. Earlier ones were good.,But here The extra battery has made phone heavier and hence has lost it charm, now looks like chinese phone. Earlier ones were as good as other phone apart from brand.,Not recommended.,Would love to return but it was gift for family,
","Redmi 8A Dual (Sky White, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery"
"
  May be my first negative review about the product & Amazon both. I was much elated to receive the iPhone 11 so fast, next day of dispatch i.e. 28/09/19, but the thing I got started heating up every now and then. Contacted Applecare, just to be consoled that it's quite normal. As it continued, tried to return the product by speaking to Amazon customer support but in vain. Some body called me back to convey that only Apple will decide which one to take back. Why is then Amazon took up the sacred duty of selling such an item which they can't exchange/ have no control ? The product developed new issues like proximity sensor malfunction and last but most importantly loosing mobile network every other minute(even had two software updates). It was handed over to the Apple ASP as the return window closed on 10/10/19 (what use it was for??) and diagnosed as having issues and has further been sent to Apple repair facility at Bengaluru. So I'm here w/out my first iPhone after using it(suffering for??) just a little over 2 weeks and the CREDIT GOES TO AMAZON !! Bravo, keep it up Amazon.
,
  Please do not buy expensive product like iphone from Amazon, i had very bad exp, the charger cord was missing and had sound quality issues. Amazon initial told charger doesn't come in box and when i challenged it they asked reimburse the cord amount, but i requested a replacement, after some days they called me and informed that they dont take responsibility of missing items, and 10 day replacement policy they dont follow, you can read the email conversation attached  here where i mentioned every thing, i have the call recordings as well. At last they denied the phone replacement and even to provide the missing cord. For any damage or quality issues they said amazon is not responsible.
,
  Awesome Phone. Nice upgrade from iPhone 6s to iPhone 11. Love this beautiful phone.
,
  The iPhone design is good and the camera quality is awesome. You can also take pictures in wide angles and the image quality is awesome.,Phone got delivered at 9am on 28th September (I pre-order it on 27th September at 3am in the morning), I got my phone before the delivery date with nice and secured packaging.,The overall look of the phone is premium and face unlocking is fast. I grabbed this phone with HDFC 6K Instant Discount Offer at Just 64K (128 GB Variant).,Cons:,1. The phone is great but if you use ""in the box"" accessories like ""EarPods with Lighting Connector"", then you might feel a little pain in your ears.,2. The phone comes with 5W charger which charge your phone slowly. I recommend you to prefer using 18W charger.,Well, I've never tried the iPhone before and I'm using this for the first time (Yes, I'm already using other apple products like MacBook Air & Pro).,But the product is great and I'm just lovin it.
,
  My Phone is Producing Too Much Heat Even Didn’t Put Sim , Never used more than Half an hour And It’s producing too much heat.. Totally Disappointed With Amazon. Now they are saying To Go Icare services( After Calling to customer care several times) Amazon can’t do anything For this . Worst Experience with Amazon. No one would like to repair new phone 😢 Better Go for shop To buy apple products .
,
  Bought the mobile from appario retail ltd. Mobile is heating up within seconds and also camera modes aren’t working properly. Particularly in portrait mode, the stage light and mono options aren’t working properly.  i raised the same to apple customer care they confirmed that its not software issue. But the amazon customer care told me that they need a job card and report from apple service center. The nearest service center is located at 210km from my place, imagine the amount of strain and how much its going to cost. Before you buy anything from this seller just google it and u can find numerous complaints on this seller. What ever they sell u will find defective products only. There is a thread on this sellers dubious deals in quora. Please be safe and don’t regret after.
,
  Defective product,got heat up within 5 minutes of starting. Need to return  fast,Very very bad experience
,
  The product i got was defective . The face id is not working and the back camera is also not working. There is a lot of hassle to get it exchanged. The apple service centre is also not of much help as the product is from amazon. Please buy phones from apple store to get the right product .
","Apple iPhone 11 (128GB) - Black (Includes EarPods, Power Adapter)"
"
  Brought this phone for my wife who is die hard fan for oppo...Offer like 2000 extra off on exchange with Oppo is just like waww....So after exchange of her old oppo mobile I got this phone for just Rs.6800.... Best phone if u want oppo brand name and u are boared to ur old oppo phone... So this review is considering 6800 cost...,Pros.,1) good features considering cost 6800.,2) Size matters 6.5 inch grt,3) Speakers are good Dolby,4) Comes with classic headphones with good looks and decent sound quality... No other phones now a days comes with headphones...,5) Quad camera gives good quality photos...,6) Selfie camera is also decent considering cost 6800,7) 5000mAh battery,8) can be use as power bank for other phones,Cons:,1) Original cost 13990 is huge considering features...Other good brands like MI, VIVO, MOTO, etc sells 48MP camera phones for 12000 and so...,2) Accessories like back cover, tempered glass are yet not in market... May be u have to wait for them...Though 1 transparent back cover is included in Mobile Box...,This is all about this phone after 24hrs use....I will update if something comes...
,
  Best option for exchange, I got it in 9k ,,Review score (out of 5),Design : 4.5 (finger print scanner position is bit high), other things like screen size, corners,back panel, camera position are perfect and it's light weight too...,Sounds quality : 5/5 (unexpected, dual side stereo and Dolby is awesome, loudness, clarity and effects are far better then any other phone i.e. mi 7 pro, Lenovo, Samsung or honor),Photography : it's similar to other available options in market, day light as usual is very clear and crisp, didn't get time for more night photography, but few repetitive uploaded pics are in night mode with very minimal light which are good.,Battery backup : best in this category (10% ~ 3 hours of heavy uses) , for heavy uses 30hours for normal uses it ll go up to 2 days.,Performance : not played many games but seems good, while opening any game auto memory cleaner will run,lag and heat issue is not there (checked continuously 1.5 hours),Memory space : 46 GB free space, all basic apps are pre installed, separate as card slot is available (apart from 2 SIM slot), 1.86 GB ram available after all updation, while playing any game also 900 to 1 GB space is available,Pros : apart from above mentioned points :,1)Front cam is good like other similar phone (mi, real me, honor, Samsung),2) earphones quality/look is very good in this range.,3) dual speaker position is in front top of display and near to charging pin, so stereo comes properly,4)face detection is fast,5)no heating issue while charging /YouTube /gaming,6) battery is lasting for more than 4 days on normal uses,Cons:,1) fingerprint scanner position is bit high,2) ram 6 GB would have a perfect option,3) macro photos are not that good compare to redmi 7 pro,4) no fast charger with pack
,
  Good Phone With Exchange
,
  Oppo makes very nice phone at this price range about quad cameras but we have another option to select Realme smartphones which is comparatively low budget and good cameras...,But this phone I like mostly in battery back up with type C charger.. and also like camera clearity because I have already attached some snaps here from my Oppo A5 2020...,Overall good performance of this phone and speaker was nice sounds which is have dual atmos..,Thanks Oppo
,
  Lowest speed ever seen in android and charger not support to battery. It will be 3 hours to take full charge
,
  The first thing is slow charging of this mobile taking more than 3 hours for full charging.  My friend bought the same mobile but that was 4 gb ram and 64 gb rom in which he got hand free but my mobile was 3 gb ram and 64 rom in which they are not providing hand free. Why?
,
  Its Camera gives pictures .. like .keypad mobile who has vga camera very poor in camera u get redish images i have never seen such worst device it often get stuck in between apps .. evn u dnt have pubg like games in ur device still it get stuck in usual apps .. it is better to buy a keypad mobile .rather than oppo a5 2020 struggled a lot with this device .. finally got returned thank god ... I truely suggest u people out there . Do not waste your money in buying this device
,
  Pros- Phone looks actually good,  Good battery life,Cons- phone is too heavy,  Camera performance not upto the,  mark.,Go for MI A3 if u don't want the cons
","OPPO A5 2020 (Dazzling White, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers"
